"",participant,day,iteration,A,W,ID,IDe(2d),Duration
2160,1,2,3,1408,64,4.5236,4.3381,1.401
2161,1,2,3,1408,64,4.5236,4.3381,1.697
2162,1,2,3,1408,64,4.5236,4.3381,1.274
2163,1,2,3,1408,64,4.5236,4.3381,1.967
2164,1,2,3,1408,64,4.5236,4.3381,1.816
2165,1,2,3,1408,64,4.5236,4.3381,1.699
2166,1,2,3,1408,64,4.5236,4.3381,1.554
2167,1,2,3,1408,64,4.5236,4.3381,1.274
2168,1,2,3,1408,64,4.5236,4.3381,1.229
2169,1,2,3,1408,64,4.5236,4.3381,2.656
2170,1,2,3,1408,64,4.5236,4.3381,1.535
2171,1,2,3,1408,64,4.5236,4.3381,2.414
2172,1,2,3,1408,64,4.5236,4.3381,1.97
2173,1,2,3,1408,64,4.5236,4.3381,1.807
2174,1,2,3,1408,64,4.5236,4.3381,1.418
2175,1,2,3,1408,64,4.5236,4.3381,1.345
2176,1,2,3,1408,64,4.5236,4.3381,1.579
2177,1,2,3,1408,64,4.5236,4.3381,1.348
2178,1,2,3,1408,64,4.5236,4.3381,1.31
2179,1,2,3,1408,64,4.5236,4.3381,1.618
2180,1,2,3,1408,128,3.585,3.4746,1.163
2181,1,2,3,1408,128,3.585,3.4746,0.833
2182,1,2,3,1408,128,3.585,3.4746,1.459
2183,1,2,3,1408,128,3.585,3.4746,1.209
2184,1,2,3,1408,128,3.585,3.4746,1.111
2185,1,2,3,1408,128,3.585,3.4746,1.085
2186,1,2,3,1408,128,3.585,3.4746,1.093
2187,1,2,3,1408,128,3.585,3.4746,0.985
2188,1,2,3,1408,128,3.585,3.4746,1.246
2189,1,2,3,1408,128,3.585,3.4746,0.94
2190,1,2,3,1408,128,3.585,3.4746,0.877
2191,1,2,3,1408,128,3.585,3.4746,2.167
2192,1,2,3,1408,128,3.585,3.4746,1.193
2193,1,2,3,1408,128,3.585,3.4746,1.165
2194,1,2,3,1408,128,3.585,3.4746,0.931
2195,1,2,3,1408,128,3.585,3.4746,0.802
2196,1,2,3,1408,128,3.585,3.4746,1.172
2197,1,2,3,1408,128,3.585,3.4746,1.329
2198,1,2,3,1408,128,3.585,3.4746,0.877
2199,1,2,3,1408,128,3.585,3.4746,1.51
2200,1,2,3,1408,96,3.9696,3.8682,1.355
2201,1,2,3,1408,96,3.9696,3.8682,2.558
2202,1,2,3,1408,96,3.9696,3.8682,1.092
2203,1,2,3,1408,96,3.9696,3.8682,1.579
2204,1,2,3,1408,96,3.9696,3.8682,0.964
2205,1,2,3,1408,96,3.9696,3.8682,1.438
2206,1,2,3,1408,96,3.9696,3.8682,1.427
2207,1,2,3,1408,96,3.9696,3.8682,0.94
2208,1,2,3,1408,96,3.9696,3.8682,1.454
2209,1,2,3,1408,96,3.9696,3.8682,2.603
2210,1,2,3,1408,96,3.9696,3.8682,1.147
2211,1,2,3,1408,96,3.9696,3.8682,1.003
2212,1,2,3,1408,96,3.9696,3.8682,1.472
2213,1,2,3,1408,96,3.9696,3.8682,1.319
