Evaluation-Run,Accuracy,Loss
1,0.4142,498.42279052734375
2,0.4091,501.96124267578125
3,0.4146,500.6054382324219
4,0.4171,497.11334228515625
5,0.4117,496.6448669433594
6,0.3912,513.523681640625
7,0.4101,506.29327392578125
8,0.419,498.50469970703125
9,0.4132,496.33868408203125
10,0.4057,500.8173828125
