Evaluation-Run ID,UNIX Timestamp,Time Since Evaluation-Run Start,Disk Space Change Since Start,Disk Space Change Since Last Measurement,CPU Usage,Memory Usage,Network Received Since Start,Network Sent Since Start,Network Received Compared To Last Measurement,Network Sent Compared To Last Measurement,FLOps Project Stage
1,1723234404.3827076,0.8123836517333984,-0.078125,-0.078125,26.4,33.3,0.0027322769165039062,0.0028219223022460938,0.0027322769165039062,0.0028219223022460938,Evaluation-Run Start
1,1723234409.386743,5.8164191246032715,0.109375,0.1875,11.1,33.3,0.6728982925415039,0.4320554733276367,0.670166015625,0.4292335510253906,Project Start
1,1723234414.392319,10.82199501991272,0.07421875,-0.03515625,6.9,33.2,1.1009101867675781,0.5859823226928711,0.4280118942260742,0.15392684936523438,FL-Actors Image-Builder Deployment
1,1723234419.3991487,15.828824758529663,0.125,0.05078125,2.6,33.2,1.262406349182129,0.7285146713256836,0.16149616241455078,0.1425323486328125,FL-Actors Image-Builder Deployment
1,1723234424.4061644,20.835840463638306,0.140625,0.015625,1.8,33.2,1.3846540451049805,0.8422842025756836,0.12224769592285156,0.11376953125,FL-Actors Image-Builder Deployment
1,1723234429.4133537,25.843029737472534,0.14453125,0.00390625,4.0,33.2,1.5616436004638672,0.9976034164428711,0.17698955535888672,0.1553192138671875,FL-Actors Image-Builder Deployment
1,1723234434.4202795,30.849955558776855,0.17578125,0.03125,2.4,33.2,1.7337417602539062,1.1450939178466797,0.17209815979003906,0.1474905014038086,FL-Actors Image-Builder Deployment
1,1723234439.4268098,35.85648584365845,0.1953125,0.01953125,4.1,33.2,1.8689708709716797,1.264246940612793,0.13522911071777344,0.11915302276611328,FL-Actors Image-Builder Deployment
1,1723234444.4340138,40.86368989944458,0.19921875,0.00390625,3.4,33.2,2.1470155715942383,1.4295711517333984,0.2780447006225586,0.16532421112060547,FL-Actors Image-Builder Deployment
1,1723234449.4387174,45.868393421173096,0.2109375,0.01171875,2.1,33.2,2.2913455963134766,1.5588264465332031,0.14433002471923828,0.1292552947998047,FL-Actors Image-Builder Deployment
1,1723234454.4426801,50.87235617637634,0.1640625,-0.046875,3.9,33.2,2.501598358154297,1.732253074645996,0.2102527618408203,0.17342662811279297,FL-Actors Image-Builder Deployment
1,1723234459.446722,55.87639808654785,0.1796875,0.015625,2.2,33.2,2.7052717208862305,1.9014387130737305,0.2036733627319336,0.16918563842773438,FL-Actors Image-Builder Deployment
1,1723234464.4507208,60.88039684295654,0.37890625,0.19921875,3.8,33.2,2.8706846237182617,2.045581817626953,0.16541290283203125,0.14414310455322266,FL-Actors Image-Builder Deployment
1,1723234469.4547641,65.88444018363953,0.390625,0.01171875,2.1,33.2,3.0778303146362305,2.2132883071899414,0.20714569091796875,0.16770648956298828,FL-Actors Image-Builder Deployment
1,1723234474.4587078,70.88838386535645,0.3984375,0.0078125,2.8,33.2,3.331573486328125,2.359992027282715,0.25374317169189453,0.14670372009277344,FL-Actors Image-Builder Deployment
1,1723234479.4639595,75.89363551139832,0.7578125,0.359375,4.4,33.3,3.5762643814086914,2.5566062927246094,0.2446908950805664,0.19661426544189453,FL-Actors Image-Builder Deployment
1,1723234484.470767,80.9004430770874,0.76953125,0.01171875,2.4,33.3,3.8076887130737305,2.7408857345581055,0.23142433166503906,0.1842794418334961,FL-Actors Image-Builder Deployment
1,1723234489.4747562,85.90443229675293,0.78515625,0.015625,4.1,33.3,3.9788084030151367,2.8854570388793945,0.17111968994140625,0.14457130432128906,FL-Actors Image-Builder Deployment
1,1723234494.4787216,90.90839767456055,0.796875,0.01171875,2.3,33.3,4.221356391906738,3.076173782348633,0.24254798889160156,0.19071674346923828,FL-Actors Image-Builder Deployment
1,1723234499.4827297,95.91240572929382,0.8125,0.015625,2.0,33.3,4.392151832580566,3.2214956283569336,0.17079544067382812,0.14532184600830078,FL-Actors Image-Builder Deployment
1,1723234504.489643,100.91931915283203,0.8203125,0.0078125,5.5,33.3,4.7481536865234375,3.4331674575805664,0.3560018539428711,0.2116718292236328,FL-Actors Image-Builder Deployment
1,1723234509.4965184,105.92619442939758,0.83984375,0.01953125,2.3,33.3,5.0033674240112305,3.629757881164551,0.25521373748779297,0.19659042358398438,FL-Actors Image-Builder Deployment
1,1723234514.499513,110.9291889667511,0.8671875,0.02734375,4.1,33.3,5.199030876159668,3.792774200439453,0.1956634521484375,0.16301631927490234,FL-Actors Image-Builder Deployment
1,1723234519.5062773,115.93595337867737,0.88671875,0.01953125,2.4,33.3,5.466545104980469,3.9971866607666016,0.2675142288208008,0.20441246032714844,FL-Actors Image-Builder Deployment
1,1723234524.5087066,120.93838262557983,0.93359375,0.046875,2.1,33.3,5.5871171951293945,4.087449073791504,0.12057209014892578,0.09026241302490234,FL-Actors Image-Builder Deployment
1,1723234529.5155563,125.94523239135742,0.953125,0.01953125,4.4,33.3,5.948573112487793,4.377457618713379,0.36145591735839844,0.290008544921875,FL-Actors Image-Builder Deployment
1,1723234534.5187533,130.9484293460846,0.96875,0.015625,3.5,33.3,6.326474189758301,4.601465225219727,0.3779010772705078,0.22400760650634766,FL-Actors Image-Builder Deployment
1,1723234539.5227575,135.9524335861206,0.98828125,0.01953125,4.8,33.3,6.553540229797363,4.789887428283691,0.2270660400390625,0.18842220306396484,FL-Actors Image-Builder Deployment
1,1723234544.5296586,140.9593346118927,1.00390625,0.015625,2.7,33.3,6.86221981048584,5.025700569152832,0.30867958068847656,0.23581314086914062,FL-Actors Image-Builder Deployment
1,1723234549.5331721,145.96284818649292,1.0234375,0.01953125,2.7,33.3,7.0878095626831055,5.21274471282959,0.22558975219726562,0.1870441436767578,FL-Actors Image-Builder Deployment
1,1723234554.5387635,150.96843957901,1.0390625,0.015625,4.0,33.3,7.433172225952148,5.467962265014648,0.34536266326904297,0.2552175521850586,FL-Actors Image-Builder Deployment
1,1723234559.545553,155.97522902488708,1.0546875,0.015625,2.6,33.3,7.771707534790039,5.7189788818359375,0.3385353088378906,0.25101661682128906,FL-Actors Image-Builder Deployment
1,1723234564.5495489,160.97922492027283,1.06640625,0.01171875,6.6,33.3,8.291634559631348,5.9346771240234375,0.5199270248413086,0.2156982421875,FL-Actors Image Build
1,1723234569.553182,165.98285794258118,1.08203125,0.015625,2.5,33.3,8.643393516540527,6.1941070556640625,0.3517589569091797,0.259429931640625,FL-Actors Image Build
1,1723234574.5601056,170.9897816181183,1.0859375,0.00390625,2.8,33.3,8.797463417053223,6.302453994750977,0.1540699005126953,0.10834693908691406,FL-Actors Image Build
1,1723234579.5668733,175.99654936790466,0.14453125,-0.94140625,3.7,33.3,9.264382362365723,6.668564796447754,0.4669189453125,0.36611080169677734,FL-Actors Image Build
1,1723234584.570736,181.0004119873047,0.15234375,0.0078125,2.4,33.3,9.638874053955078,6.944063186645508,0.37449169158935547,0.2754983901977539,FL-Actors Image Build
1,1723234589.5776224,186.00729846954346,0.16796875,0.015625,3.8,33.3,9.903803825378418,7.156403541564941,0.26492977142333984,0.2123403549194336,FL-Actors Image Build
1,1723234594.582498,191.01217412948608,0.1796875,0.01171875,3.4,33.3,10.380860328674316,7.444292068481445,0.47705650329589844,0.2878885269165039,FL-Actors Image Build
1,1723234599.5867605,196.01643657684326,0.1640625,-0.015625,3.5,33.2,10.543938636779785,7.555124282836914,0.16307830810546875,0.11083221435546875,FL-Actors Image Build
1,1723234604.5922356,201.02191162109375,0.17578125,0.01171875,3.3,33.2,11.056796073913574,7.954926490783691,0.5128574371337891,0.39980220794677734,FL-Actors Image Build
1,1723234609.5944774,206.02415347099304,0.1875,0.01171875,2.4,33.2,11.45862865447998,8.245809555053711,0.40183258056640625,0.29088306427001953,FL-Actors Image Build
1,1723234614.5969014,211.02657747268677,0.19921875,0.01171875,3.9,33.2,11.750419616699219,8.478802680969238,0.2917909622192383,0.23299312591552734,FL-Actors Image Build
1,1723234619.6036935,216.0333695411682,0.2109375,0.01171875,2.3,33.2,12.166576385498047,8.779373168945312,0.4161567687988281,0.3005704879760742,FL-Actors Image Build
1,1723234624.6068416,221.03651762008667,0.21875,0.0078125,4.8,33.2,12.43978214263916,8.910213470458984,0.2732057571411133,0.13084030151367188,FL-Actors Image Build
1,1723234629.6132946,226.04297065734863,0.23828125,0.01953125,2.7,33.2,12.9863920211792,9.33314037322998,0.5466098785400391,0.4229269027709961,FL-Actors Image Build
1,1723234634.6170733,231.0467493534088,0.26171875,0.0234375,2.5,33.2,13.427589416503906,9.650981903076172,0.44119739532470703,0.3178415298461914,FL-Actors Image Build
1,1723234639.623965,236.05364108085632,0.2734375,0.01171875,3.8,33.2,13.733894348144531,9.892467498779297,0.306304931640625,0.241485595703125,FL-Actors Image Build
1,1723234644.6307728,241.060448884964,0.29296875,0.01953125,2.5,33.2,14.186820983886719,10.217452049255371,0.4529266357421875,0.3249845504760742,FL-Actors Image Build
1,1723234649.6375885,246.06726455688477,0.3046875,0.01171875,4.2,33.2,14.649944305419922,10.546603202819824,0.4631233215332031,0.3291511535644531,FL-Actors Image Build
1,1723234654.6444755,251.0741515159607,0.3125,0.0078125,2.6,33.2,15.055500030517578,10.800695419311523,0.40555572509765625,0.2540922164916992,FL-Actors Image Build
1,1723234659.6515472,256.0812232494354,0.3671875,0.0546875,2.9,33.2,15.524006843566895,11.133870124816895,0.4685068130493164,0.3331747055053711,FL-Actors Image Build
1,1723234664.6560817,261.08575773239136,0.37890625,0.01171875,4.4,33.2,15.978764533996582,11.642098426818848,0.4547576904296875,0.5082283020019531,FL-Actors Image Build
1,1723234669.6628413,266.09251737594604,0.390625,0.01171875,2.4,33.2,16.459177017211914,11.983442306518555,0.48041248321533203,0.34134387969970703,FL-Actors Image Build
1,1723234674.6667466,271.09642267227173,0.41015625,0.01953125,4.2,33.2,16.958518028259277,12.337492942810059,0.4993410110473633,0.3540506362915039,FL-Actors Image Build
1,1723234679.6736202,276.1032962799072,0.41796875,0.0078125,2.0,33.2,17.288089752197266,12.596179962158203,0.3295717239379883,0.25868701934814453,FL-Actors Image Build
1,1723234684.6804454,281.11012148857117,0.4296875,0.01171875,3.3,33.2,17.88258934020996,12.958563804626465,0.5944995880126953,0.3623838424682617,FL-Actors Image Build
