Evaluation-Run ID,UNIX Timestamp,Time Since Evaluation-Run Start,Disk Space Change Since Start,Disk Space Change Since Last Measurement,CPU Usage,Memory Usage,Network Received Since Start,Network Sent Since Start,Network Received Compared To Last Measurement,Network Sent Compared To Last Measurement,Network Received Current,Network Send Current,Network Received Current rounded,Network Send Current rounded,Network Received Since Start unrounded,Network Sent Since Start unrounded,Network Received Since Start lo,Network Sent Since Start lo,Network Received Since Start enp3s0,Network Sent Since Start enp3s0,Network Received Since Start docker0,Network Sent Since Start docker0,Network Received Since Start goProxyTun,Network Sent Since Start goProxyTun,Network Received Since Start goProxyBridge,Network Sent Since Start goProxyBridge,FLOps Project Stage
3,1723022777.8663723,0.8672769069671631,3.65625,3.65625,23.7,42.5,0.023065567016601562,0.07084465026855469,0.023065567016601562,0.07084465026855469,21372150556,10276744656,20382.071071624756,9800.667434692383,24186,74286,2892,2892,8051,39207,0,86,0,84,0,0,Evaluation-Run Start
3,1723022782.8740618,5.874966382980347,4.3515625,0.6953125,11.2,42.5,0.6835308074951172,0.7885885238647461,0.6604652404785156,0.7177438735961914,21372843104,10277497265,20382.731536865234,9801.385178565979,716734,826895,36556,36556,56690,63032,464,1496,0,492,0,0,FL-Actors Image-Builder Deployment
3,1723022787.883925,10.8848295211792,445.96484375,441.61328125,22.9,42.5,251.5872688293457,8.766949653625488,250.9037380218506,7.978361129760742,21635934742,10285863183,20633.635274887085,9809.36353969574,263808372,9192813,48181,48181,263093595,8246320,464,1496,0,492,0,0,FL-Actors Image-Builder Deployment
3,1723022792.8959243,15.896828889846802,999.60546875,553.640625,29.8,42.7,507.77519702911377,16.868475914001465,256.18792819976807,8.101526260375977,21904567255,10294358249,20889.823203086853,9817.465065956116,532440885,17687879,59172,59172,531508221,16523510,464,1496,0,492,726,1484,FL-Actors Image-Builder Deployment
3,1723022797.9079256,20.908830165863037,1720.3125,720.70703125,31.3,42.6,763.9696044921875,24.95585536956787,256.19440746307373,8.087379455566406,22173206562,10302838481,21146.017610549927,9825.552445411682,801080192,26168111,73077,73077,800013638,24834812,464,1496,0,492,1058,1526,FL-Actors Image-Builder Deployment
3,1723022802.9199212,25.920825719833374,1986.10546875,265.79296875,16.2,42.6,1014.045371055603,32.74531650543213,250.07576656341553,7.789461135864258,22435430009,10311006323,21396.093377113342,9833.341906547546,1063303639,34335953,105902,105902,1062017623,32793099,464,1496,0,492,1058,1526,FL-Actors Image-Builder Deployment
3,1723022807.9319193,30.93282389640808,2226.16796875,240.0625,12.9,42.6,1270.142346382141,40.67895221710205,256.0969753265381,7.933635711669922,22703967151,10319325343,21652.19035243988,9841.275542259216,1331840781,42654973,111458,111458,1330346650,40944409,464,1496,0,492,1114,1526,FL-Actors Image-Builder Deployment
3,1723022812.9399247,35.940829277038574,2624.73046875,398.5625,17.5,42.7,1329.8330726623535,42.65927219390869,59.6907262802124,1.9803199768066406,22766557414,10321401859,21711.881078720093,9843.255862236023,1394431044,44731489,116801,116801,1392671409,42833465,464,1496,0,492,1114,1526,FL-Actors Image-Builder Deployment
3,1723022817.9479208,40.94882535934448,3702.92578125,1078.1953125,29.4,42.6,1329.994930267334,42.82365417480469,0.16185760498046875,0.1643819808959961,22766727134,10321574226,21712.042936325073,9843.420244216919,1394600764,44903856,123101,123101,1392676918,42837965,464,1496,0,492,1114,1526,FL-Actors Image-Builder Deployment
3,1723022822.9559195,45.95682406425476,4219.9375,517.01171875,22.2,42.7,1330.1764726638794,43.009233474731445,0.18154239654541016,0.1855792999267578,22766917495,10321768820,21712.22447872162,9843.605823516846,1394791125,45098450,130429,130429,1392682873,42842821,464,1496,0,492,1170,1526,FL-Actors Image-Builder Deployment
3,1723022827.963609,50.964513540267944,4536.37890625,316.44140625,17.4,43.3,1330.3819284439087,43.219459533691406,0.20545578002929688,0.21022605895996094,22767132931,10321989258,21712.429934501648,9843.816049575806,1395006561,45318888,139416,139416,1392687488,42847007,464,1496,0,492,2307,2002,FL-Actors Image-Builder Deployment
3,1723022832.983969,55.9848735332489,4536.49609375,0.1171875,5.6,43.3,1330.586187362671,43.44093704223633,0.20425891876220703,0.22147750854492188,22767347112,10322221494,21712.63419342041,9844.03752708435,1395220742,45551124,146821,146821,1392704257,42855588,464,1496,0,492,5308,14276,FL-Actors Image-Builder Deployment
3,1723022837.9920204,60.99292492866516,4537.08984375,0.59375,6.6,43.4,1331.056531906128,44.16872215270996,0.47034454345703125,0.7277851104736328,22767840304,10322984632,21713.104537963867,9844.765312194824,1395713934,46314262,396193,396193,1392757857,43139342,464,1496,824,1316,10313,36064,FL-Actors Image-Builder Deployment
3,1723022843.011924,66.01282858848572,4881.5625,344.47265625,28.2,43.9,1530.1117534637451,437.7030248641968,199.0552215576172,393.5343027114868,22976564832,10735635257,21912.159759521484,10238.299614906311,1604438462,458964887,402173,402173,1598376367,44767794,464,1496,824,1316,1291873,205442173,FL-Actors Image-Builder Deployment
3,1723022848.02397,71.02487444877625,5102.29296875,220.73046875,20.8,44.2,1530.3102197647095,437.91010665893555,0.19846630096435547,0.20708179473876953,22976772939,10735852398,21912.35822582245,10238.50669670105,1604646569,459182028,413451,413451,1598383892,44776194,464,1496,824,1316,1291993,205442301,FL-Actors Image Build
3,1723022853.0359519,76.03685641288757,5119.6796875,17.38671875,11.7,44.4,1539.3871326446533,455.4161310195923,9.076912879943848,17.50602436065674,22986290772,10754208795,21921.435138702393,10256.012721061707,1614164402,477538425,418941,418941,1607372256,44951240,464,1496,824,1316,1427279,214415432,FL-Actors Image Build
