SL	Z	Name	Symbol	SymbolR	Mass	Abundance
145	50	Tin	Sn116	116Sn	115.902	14.54
146	50	Tin	Sn117	117Sn	116.903	7.68
147	50	Tin	Sn118	118Sn	117.902	24.22
148	50	Tin	Sn119	119Sn	118.903	8.59
149	50	Tin	Sn120	120Sn	119.902	32.58
150	50	Tin	Sn122	122Sn	121.903	4.63
151	50	Tin	Sn124	124Sn	123.905	5.79
152	51	Antimony	Sb121	121Sb	120.904	57.21
153	51	Antimony	Sb123	123Sb	122.904	42.79
154	52	Tellurium	Te120	120Te	119.904	0.09
155	52	Tellurium	Te122	122Te	121.903	2.55
156	52	Tellurium	Te123	123Te	122.904	0.89
157	52	Tellurium	Te124	124Te	123.903	4.74
158	52	Tellurium	Te125	125Te	124.904	7.07
159	52	Tellurium	Te126	126Te	125.903	18.84
160	52	Tellurium	Te128	128Te	127.904	31.74
161	52	Tellurium	Te130	130Te	129.906	34.08
162	53	Iodine	I127	127I	126.904	100
163	54	Xenon	Xe124	124Xe	123.906	0.09
164	54	Xenon	Xe126	126Xe	125.904	0.09
165	54	Xenon	Xe128	128Xe	127.904	1.92
166	54	Xenon	Xe129	129Xe	128.905	26.44
167	54	Xenon	Xe130	130Xe	129.904	4.08
168	54	Xenon	Xe131	132Xe	130.905	21.18
169	54	Xenon	Xe132	132Xe	131.904	26.89
170	54	Xenon	Xe134	134Xe	133.905	10.44
171	54	Xenon	Xe136	136Xe	135.907	8.87
172	55	Cesium	Cs133	133Cs	132.905	100
173	56	Barium	Ba130	130Ba	129.906	0.106
174	56	Barium	Ba132	132Ba	131.905	0.101
175	56	Barium	Ba134	134Ba	133.905	2.417
176	56	Barium	Ba135	135Ba	134.906	6.592
177	56	Barium	Ba136	136Ba	135.905	7.854
178	56	Barium	Ba137	137Ba	136.906	11.232
179	56	Barium	Ba138	138Ba	137.905	71.698
180	80	Mercury	Hg196	196Hg	195.966	0.15
181	80	Mercury	Hg198	198Hg	197.967	9.97
182	80	Mercury	Hg199	199Hg	198.968	16.87
183	80	Mercury	Hg200	200Hg	199.968	23.1
184	80	Mercury	Hg201	201Hg	200.970	13.18
185	80	Mercury	Hg202	202Hg	201.971	29.86
186	80	Mercury	Hg204	204Hg	203.973	6.87
187	81	Thallium	Tl203	203Tl	202.972	29.524
188	81	Thallium	Tl205	205Tl	204.974	70.476
189	82	Lead	Pb204	204Pb	203.973	1.4
190	82	Lead	Pb206	206Pb	205.974	24.1
191	82	Lead	Pb207	207Pb	206.976	22.1
192	82	Lead	Pb208	208Pb	207.977	52.4
193	83	Bismuth	Bi209	209Bi	208.980	100
194	92	Uranium	U234	234U	234.041	0.0055
195	92	Uranium	U235	235U	235.044	0.72
196	92	Uranium	U238	238U	238.051	99.2745
197	92	Uranium	U232	232U	232.000	0.00001
198	92	Uranium	U236	236U	236.000	0.00001
199	57	Lanthanum	La139	139La	139.000	100
200	58	Cerium	Ce140	140Ce	140.000	100
201	65	Terbium	Tb159	159Tb	159.000	100
202	71	Lutetium	Lu175	175Lu	175.000	100
203	77	Iridium	Ir193	193Ir	193.000	100
204	78	Platinum	Pt195	195Pt	195.000	100
