SL	Z	Name	Symbol	SymbolR	Mass	Abundance
1	3	Lithium	Li6	6Li	6.015	7.59
2	3	Lithium	Li7	7Li	7.016	92.41
3	4	Beryllium	Be9	9Be	9.012	100
4	5	Boron	B10	10B	10.013	19.9
5	5	Boron	B11	11B	11.009	80.1
6	6	Carbon	C12	12C	12.000	98.93
7	6	Carbon	C13	13C	13.003	1.07
8	7	Nitrogen	N14	14N	14.003	99.632
9	7	Nitrogen	N15	15N	15.000	0.368
10	8	Oxygen	O16	16O	15.995	99.757
11	8	Oxygen	O17	17O	16.999	0.038
12	8	Oxygen	O18	18O	17.999	0.205
13	9	Fluorine	F19	19F	18.998	100
14	10	Neon	Ne20	20Ne	19.992	90.48
15	10	Neon	Ne21	21Ne	20.994	0.27
16	10	Neon	Ne22	22Ne	21.991	9.25
17	11	Sodium	Na23	23Na	22.990	100
18	12	Magnesium	Mg24	24Mg	23.985	78.99
19	12	Magnesium	Mg25	25Mg	24.986	10
20	12	Magnesium	Mg26	26Mg	25.983	11.01
21	13	Aluminum	Al27	27Al	26.982	100
22	14	Silicon	Si28	28Si	27.977	92.2297
23	14	Silicon	Si29	29Si	28.976	4.6832
24	14	Silicon	Si30	30Si	29.974	3.0872
25	15	Phosphorus	P31	31P	30.974	100
26	16	Sulphur	S32	32S	31.972	94.93
27	16	Sulphur	S33	33S	32.971	0.76
28	16	Sulphur	S34	34S	33.968	4.29
29	16	Sulphur	S36	36S	35.967	0.02
30	17	Chlorine	Cl35	35Cl	34.969	75.78
31	17	Chlorine	Cl37	37Cl	36.966	24.22
32	18	Argon	Ar36	36Ar	35.968	0.3365
33	18	Argon	Ar38	38Ar	37.963	0.0632
34	18	Argon	Ar40	40Ar	39.962	99.6003
35	19	Potassium	K39	39K	38.964	93.2581
36	19	Potassium	K40	40K	39.964	0.0117
37	19	Potassium	K41	41K	40.962	6.7302
38	20	Calcium	Ca40	40Ca	39.963	96.941
39	20	Calcium	Ca42	42Ca	41.959	0.647
40	20	Calcium	Ca43	43Ca	42.959	0.135
41	20	Calcium	Ca44	44Ca	43.955	2.086
42	20	Calcium	Ca46	46Ca	45.954	0.004
43	20	Calcium	Ca48	48Ca	47.953	0.187
44	21	Scandium	Sc45	45Sc	44.956	100
45	22	Titanium	Ti46	46Ti	45.953	8.25
46	22	Titanium	Ti47	47Ti	46.952	7.44
47	22	Titanium	Ti48	48Ti	47.948	73.72
48	22	Titanium	Ti49	49Ti	48.948	5.41
49	22	Titanium	Ti50	50Ti	49.945	5.18
50	23	Vanadium	V50	50V	49.947	0.25
51	23	Vanadium	V51	51V	50.944	99.75
52	24	Chromium	Cr50	50Cr	49.946	4.345
53	24	Chromium	Cr52	52Cr	51.941	83.789
54	24	Chromium	Cr53	53Cr	52.941	9.501
55	24	Chromium	Cr54	54Cr	53.939	2.365
56	25	Manganese	Mn55	55Mn	54.938	100
57	26	Iron	Fe54	54Fe	53.940	5.845
58	26	Iron	Fe56	56Fe	55.935	91.754
59	26	Iron	Fe57	57Fe	56.935	2.119
60	26	Iron	Fe58	58Fe	57.933	0.282
61	27	Cobalt	Co59	59Co	58.933	100
62	28	Nickel	Ni58	58Ni	57.935	68.0769
63	28	Nickel	Ni60	60Ni	59.931	26.2231
64	28	Nickel	Ni61	61Ni	60.931	1.1399
65	28	Nickel	Ni62	62Ni	61.928	3.6345
66	28	Nickel	Ni64	64Ni	63.928	0.9256
67	29	Copper	Cu63	63Cu	62.930	69.17
68	29	Copper	Cu65	65Cu	64.928	30.83
69	30	Zinc	Zn64	64Zn	63.929	48.63
70	30	Zinc	Zn66	66Zn	65.926	27.9
71	30	Zinc	Zn67	67Zn	66.927	4.1
72	30	Zinc	Zn68	68Zn	67.925	18.75
73	30	Zinc	Zn70	70Zn	69.925	0.62
74	31	Gallium	Ga69	69Ga	68.926	60.108
75	31	Gallium	Ga71	71Ga	70.925	39.892
76	32	Germanium	Ge70	70Ge	69.924	20.84
77	32	Germanium	Ge72	72Ge	71.922	27.54
78	32	Germanium	Ge73	73Ge	72.923	7.73
79	32	Germanium	Ge74	74Ge	73.921	36.28
80	32	Germanium	Ge76	76Ge	75.921	7.61
81	33	Arsenic	As75	75As	74.922	100
82	34	Selenium	Se74	74Se	73.922	0.89
83	34	Selenium	Se76	76Se	75.919	9.37
84	34	Selenium	Se77	77Se	76.920	7.63
85	34	Selenium	Se78	78Se	77.917	23.77
86	34	Selenium	Se80	80Se	79.917	49.61
87	34	Selenium	Se82	82Se	81.917	8.73
88	35	Bromine	Br79	79Br	78.918	50.69
89	35	Bromine	Br81	81Br	80.916	49.31
90	36	Krypton	Kr78	78Kr	77.920	0.35
91	36	Krypton	Kr80	80Kr	79.916	2.28
92	36	Krypton	Kr82	82Kr	81.913	11.58
93	36	Krypton	Kr83	83Kr	82.914	11.49
94	36	Krypton	Kr84	84Kr	83.912	57
95	36	Krypton	Kr86	86Kr	85.911	17.3
96	37	Rubidium	Rb85	85Rb	84.912	72.17
97	37	Rubidium	Rb87	87Rb	86.909	27.83
98	38	Strontium	Sr84	84Sr	83.913	0.56
99	38	Strontium	Sr86	86Sr	85.909	9.86
100	38	Strontium	Sr87	87Sr	86.909	7
101	38	Strontium	Sr88	88Sr	87.906	82.58
102	39	Yttrium	Y89	89Y	88.906	100
103	40	Zirconium	Zr90	90Zr	89.905	51.45
104	40	Zirconium	Zr91	91Zr	90.906	11.22
105	40	Zirconium	Zr92	92Zr	91.905	17.15
106	40	Zirconium	Zr94	94Zr	93.906	17.38
107	40	Zirconium	Zr96	96Zr	95.908	2.8
108	41	Niobium	Nb93	93Nb	92.906	100
109	42	Molybdenum	Mo100	100Mo	99.907	9.63
110	42	Molybdenum	Mo92	92Mo	91.907	14.84
111	42	Molybdenum	Mo94	94Mo	93.905	9.25
112	42	Molybdenum	Mo95	95Mo	94.906	15.92
113	42	Molybdenum	Mo96	96Mo	95.905	16.68
114	42	Molybdenum	Mo97	97Mo	96.906	9.55
115	42	Molybdenum	Mo98	98Mo	97.905	24.13
116	44	Ruthenium	Ru100	100Ru	99.904	12.6
117	44	Ruthenium	Ru101	101Ru	100.906	17.06
118	44	Ruthenium	Ru102	102Ru	101.904	31.55
119	44	Ruthenium	Ru104	104Ru	103.905	18.62
120	44	Ruthenium	Ru96	96Ru	95.908	5.54
121	44	Ruthenium	Ru98	98Ru	97.905	1.87
122	44	Ruthenium	Ru99	99Ru	98.906	12.76
123	45	Rhodium	Rh103	103Rh	102.906	100
124	46	Palladium	Pd102	102Pd	101.906	1.02
125	46	Palladium	Pd104	104Pd	103.904	11.14
126	46	Palladium	Pd105	105Pd	104.905	22.33
127	46	Palladium	Pd106	106Pd	105.903	27.33
128	46	Palladium	Pd108	108Pd	107.904	26.46
129	46	Palladium	Pd110	110Pd	109.905	11.72
130	47	Silver	Ag107	107Ag	106.905	51.839
131	47	Silver	Ag109	109Ag	108.905	48.161
132	48	Cadmium	Cd106	106Cd	105.906	1.25
133	48	Cadmium	Cd108	108Cd	107.904	0.89
134	48	Cadmium	Cd110	110Cd	109.903	12.49
135	48	Cadmium	Cd111	111Cd	110.904	12.8
136	48	Cadmium	Cd112	112Cd	111.903	24.13
137	48	Cadmium	Cd113	113Cd	112.904	12.22
138	48	Cadmium	Cd114	114Cd	113.903	28.73
139	48	Cadmium	Cd116	116Cd	115.905	7.49
140	49	Indium	In113	113In	112.904	4.29
141	49	Indium	In115	115In	114.904	95.71
142	50	Tin	Sn112	112Sn	111.905	0.97
143	50	Tin	Sn114	114Sn	113.903	0.66
144	50	Tin	Sn115	115Sn	114.903	0.34
