Evaluation-Run ID,UNIX Timestamp,Time Since Evaluation-Run Start,Disk Space Change Since Start,Disk Space Change Since Last Measurement,CPU Usage,Memory Usage,Network Received Since Start,Network Sent Since Start,Network Received Compared To Last Measurement,Network Sent Compared To Last Measurement,FLOps Project Stage
6,1723227508.5326474,0.8462216854095459,-167.51171875,-167.51171875,37.0,17.8,0.01801586151123047,0.01939105987548828,0.01801586151123047,0.01939105987548828,Evaluation-Run Start
6,1723227513.5371306,5.850704908370972,-1583.3828125,-1415.87109375,19.8,17.8,0.2484893798828125,0.24677181243896484,0.23047351837158203,0.22738075256347656,Evaluation-Run Start
6,1723227518.5411055,10.854679822921753,-851.39453125,731.98828125,65.8,18.0,600.4348611831665,1.3955888748168945,600.1863718032837,1.1488170623779297,Evaluation-Run Start
6,1723227523.5450583,15.858632564544678,-175.703125,675.69140625,74.0,18.0,849.2794828414917,2.218451499938965,248.8446216583252,0.8228626251220703,Evaluation-Run Start
6,1723227528.5490658,20.862640142440796,328.53515625,504.23828125,61.0,18.3,1102.8354768753052,3.0997791290283203,253.55599403381348,0.8813276290893555,Evaluation-Run Start
6,1723227533.553102,25.866676330566406,717.10546875,388.5703125,44.3,18.2,1325.496211051941,3.9073476791381836,222.66073417663574,0.8075685501098633,Evaluation-Run Start
6,1723227538.5592895,30.87286376953125,942.203125,225.09765625,34.1,18.3,1325.569218635559,3.982156753540039,0.07300758361816406,0.07480907440185547,Evaluation-Run Start
6,1723227543.5650692,35.87864351272583,1538.109375,595.90625,52.9,18.1,1325.6644268035889,4.081608772277832,0.09520816802978516,0.09945201873779297,Evaluation-Run Start
6,1723227548.569087,40.88266134262085,2032.390625,494.28125,47.4,18.2,1325.7377729415894,4.156587600708008,0.07334613800048828,0.07497882843017578,Evaluation-Run Start
6,1723227553.5771005,45.89067482948303,2358.38671875,325.99609375,41.4,18.2,1325.8330736160278,4.255558013916016,0.09530067443847656,0.09897041320800781,Evaluation-Run Start
6,1723227558.5810604,50.89463472366333,2581.03125,222.64453125,36.5,18.3,1325.9065856933594,4.331387519836426,0.07351207733154297,0.07582950592041016,Evaluation-Run Start
6,1723227563.585057,55.89863133430481,2830.54296875,249.51171875,41.3,18.4,1326.0047760009766,4.433293342590332,0.0981903076171875,0.10190582275390625,Evaluation-Run Start
6,1723227568.5891178,60.90269207954407,2941.03125,110.48828125,32.9,18.1,1326.0792474746704,4.50920295715332,0.07447147369384766,0.07590961456298828,Evaluation-Run Start
6,1723227573.593149,65.90672326087952,3132.91796875,191.88671875,44.7,19.8,1456.703761100769,253.9168186187744,130.62451362609863,249.4076156616211,Evaluation-Run Start
