FOAMS_ID,SOUND_LABEL
30709,human_breathing
84275,plastic_crumpling
87506,knife_cutting
87984,knife_cutting
125375,chewing_gum
125403,clearing_throat
145387,swallowing
181890,water_drops
184320,basketball_dribbling
187258,chewing_gum
234335,human_breathing
243635,swallowing
259326,water_drops
262507,basketball_dribbling
267932,swallowing
272223,knife_cutting
272420,chewing_gum
275304,flipping_newspaper
324866,water_drops
328010,swallowing
336530,human_breathing
336672,clearing_throat
345567,plastic_crumpling
395087,chewing_gum
419998,knife_cutting
420221,water_drops
444745,plastic_crumpling
446021,typing
453757,basketball_dribbling
469013,typing
470897,human_breathing
473981,flipping_newspaper
484956,flipping_newspaper
486300,water_drops
501948,swallowing
530362,basketball_dribbling
535211,typing
539291,knife_cutting
542510,plastic_crumpling
543249,plastic_crumpling
546032,typing
546751,clearing_throat
554907,human_breathing
557540,flipping_newspaper
580220,basketball_dribbling
586979,clearing_throat
592495,clearing_throat
613719,chewing_gum
624499,typing
636467,flipping_newspaper
