l18,name,type,insCode,regNo,url,siteType
هیوا,ثروت هیوا,Stock,62845384302495432,11998,http://hiwafund.ir/,RayanHamafza
وبازار,شاخصی بازار آشنا,Stock,41286608288791633,11763,http://indexfund.ir/,RayanHamafza
ویستا,سهام ویستا,Stock,58852293795036597,11885,http://vistasahm.ir/,RayanHamafza
پادا,پاداش سرمایه پارس,Stock,67522512921942106,11470,http://padashparsfund.com/,RayanHamafza
پاداش,ارزش پاداش,Fixed,43267179898797137,11955,http://arzeshpadash.com/,RayanHamafza
پارند,پارند پایدار سپهر,Fixed,70595828753641750,11416,http://parandfund.ir/,RayanHamafza
پالایش,پالایشی یکم,Stock,67675656072510693,11745,http://p1fund.ir/,RayanHamafza
پایا,پایا ثروت پویا,Fixed,55070742656326885,12050,http://irpsf.ir/,RayanHamafza
پایش,در اوراق بهادار با درآمد ثابت پایش,Fixed,58722731270352481,12245,http://pfi-fund.com/,RayanHamafza
پتروآبان,بخشی پترو آبان,Stock,18757639286384873,12198,https://apfund.ir/#2,TadbirPardazMultiNAV
پتروآگاه,بخشی صنایع آگاه,Stock,37828981835497620,12093,http://agahsectorfund.ir/#1,RayanHamafzaMultiNAV
پتروداریوش,بخشی پترو داریوش,Stock,2019449432639594,12147,http://petro.dariush.fund/,RayanHamafza
پتروصبا,بخشی پتروشیمی اندیشه صبا,Stock,30762816122316539,12163,https://petrosaba.sabaamc.ir/,RayanHamafza
پتروما,بخشی پتروشیمی دماوند,Stock,7670135462634715,11907,https://petromafund.ir/,TadbirPardaz
پرتو,پرتو پایش پیشرو,Stock,48818952524587858,12048,http://partofund.ir/,RayanHamafza
پیروز,امین نهایت نگر,Stock,41746336706469006,12157,http://aminnahayatnegar.com/,RayanHamafza
کاج,نوع دوم پایدار نو ویرا,Fixed,42670427020727409,12017,https://kaj.fund/,RayanHamafza
کارا,نوع دوم کارا,Fixed,71843282162462661,11883,http://kara.charismafunds.ir/,RayanHamafza
کاردان,تجارت شاخصی کاردان,Stock,65023851436340574,11312,https://iran-kfunds3.ir/,TadbirPardaz
کارما,در اوراق بهادار با درآمد ثابت کیهان,Fixed,33015297618582406,12252,https://keyhanfund.ir/,TadbirPardaz
کاریس,سهامی سپند کاریزما,Stock,69067576215760005,11183,http://sepand.charismafunds.ir/,RayanHamafza
کارین,در اوراق بهادار با درآمد ثابت نگین سامان,Fixed,16056283141617755,11500,https://iran-kfunds4.ir/,TadbirPardaz
کامیاب,کامیاب آشنا,Fixed,16040900750729921,11838,http://kamyabfund.ir/,RayanHamafza
کمند,در اوراق بهادار با درآمد ثابت کمند,Fixed,34718633636164421,11513,http://kamand.charismafunds.ir/,RayanHamafza
کهربا,در اوراق بهادار مبتنی بر گواهی سپرده سکه طلا کهربا,Commodity,25559236668122210,11856,http://kahroba.charismafunds.ir/,RayanHamafza
کیان,در اوراق بهادار با درآمد ثابت کیان,Fixed,53251602435454519,11459,https://kianfunds1.ir/,RayanHamafza
گارانتی,تضمین اصل سرمایه گیتی دماوند,Mixed,971068957336171,12135,https://gitidamavandfund.ir/,MabnaDP
گنج,کیمیا زرین کاردان,Commodity,58514988269776425,10615,https://iran-kfunds5.ir/,TadbirPardaz
گنجین,گنجینه یکم آوید,Fixed,57728534324022361,11499,https://ganjinehavid.ir/,TadbirPardaz
گنجینه,گنجینه داریوش,Fixed,47101579271117172,11673,http://ganjineh.dariush.fund/,RayanHamafza
گوهر,در اوراق بهادار مبتنی بر سکه طلای کیان,Commodity,12390706505809150,11556,https://kianfunds3.ir/,RayanHamafza
یارا,در اوراق بهادار با درآمد ثابت آریا,Fixed,45284811973404357,11916,http://fund1.ariaamc.ir/,RayanHamafza
یاقوت,یاقوت آگاه,Fixed,1438514795814416,11698,http://yaghootfund.ir/,RayanHamafza
