l18,name,type,insCode,regNo,url,siteType
آبنوس,سهام نگر کیمیا,Stock,40912525017440979,12270,https://kimiasahm.ir/,TadbirPardaz
آتیمس,آرمان آتیه درخشان مس,Stock,22839330962768817,11378,http://armanmesetf.ir/,RayanHamafza
آتیه ملت,آتیه ملت,Fixed,47492157735162813,10895,https://atiehmellat.ir/,TadbirPardaz
آذرین,بخشی فلزات کیمیا,Stock,43358402418932595,12172,https://kimiasectorfund.ir/#2,TadbirPardazMultiNAV
آرام,شاخصی آرام مفید,Stock,14230681955555738,11939,https://arametf.com/,TadbirPardaz
آرامش,در اوراق بهادار با درآمد ثابت آرامش,Fixed,7104496710718469,12268,https://arameshfund.ir/,TadbirPardaz
آساس,آسمان آرمانی سهام,Stock,66682662312253625,11195,https://asasfund.ir/,TadbirPardaz
آسام,آرمان سپهر آتی,Mixed,36592972482259020,11172,https://asaetf.ir/,TadbirPardaz
آسامید,مشترک آسمان امید,Fixed,24869832924911721,11626,https://asamidfund.ir/,TadbirPardaz
آفاق,نوع دوم افق آتی,Fixed,37073830945037165,11976,https://ofoghati.ir/,TadbirPardaz
آفرین,رشد آفرین سرمایه,Mixed,37028614515926436,12184,https://roshdafarinfund.ir/,MabnaDP
آلا,اعتماد ارغوان,Fixed,19828734979381742,12128,https://etemadarghavan.sanaamc.com/,RayanHamafza
آلتون,طلای آسمان آلتون,Commodity,28374437855144739,12006,https://altonfund.ir/,TadbirPardaz
آوا,آوای معیار,Stock,18007109712724189,11729,http://avayemeyar.ir/,RayanHamafza
آوند,ثابت آوند مفید,Fixed,31039212000825988,11993,https://avandetf.ir/,TadbirPardaz
آکام,ثابت آکام,Fixed,490987973229371,12117,http://akamvista.ir/,RayanHamafza
آکورد,آرمان آتی کوثر,Fixed,30282299500988269,11409,https://aaketf.ir/,RayanHamafza
آگاس,هستی بخش آگاه,Stock,33887145736684266,11341,https://hbagahfund.com/,RayanHamafza
اتوآگاه,بخشی صنایع آگاه2,Stock,6328167131743522,,http://agahsectorfund.ir/#2,RayanHamafzaMultiNAV
ارزش,ارزش آفرین بیدار,Stock,43443105991896600,11712,http://arzesh.ebb.ir/,RayanHamafza
ارزش مسکن,املاک و مستغلات مدیریت ارزش مسکن,REIT,71945594172117613,12027,https://reit1.cvpf.ir/,TadbirPardaz
ارمغان,ارمغان ایرانیان,Fixed,31366347648583654,10920,http://armaghanfund.ir/,RayanHamafza
استیل,بخشی صنایع مفید,Stock,24907784641855842,12150,https://mofidsectorfund.com/#2,TadbirPardazMultiNAV
اصیل,مشترک البرز,Fixed,8021561335311415,11148,http://alborzfunds.com/,RayanHamafza
اطلس,توسعه اطلس مفید,Stock,11427939669935844,11215,https://atlasetf.com/,TadbirPardaz
اعتبار,نوع دوم اعتبار,Fixed,35163287528816137,12031,http://etebaretf2.com/,RayanHamafza
اعتماد,اعتماد آفرین پارسیان,Fixed,66818022341772870,11315,http://eap-fund.com/,RayanHamafza
افران,افرا نماد پایدار,Fixed,3846143218462419,11692,https://afra.fund/,RayanHamafza
افق ملت,افق ملت,Stock,15451317146134956,11233,https://ofoghmellat.ir/,TadbirPardaz
الماس,امین تدبیرگران فردا,Stock,28788598290160782,11260,http://fardaetf.tadbirfunds.ir/,RayanHamafza
امین یکم,امین یکم فردا,Fixed,45728383369147894,11460,https://aminfarda.ir/,TadbirPardaz
انار,انار نماد ارزش,Stock,30215634246748564,11900,https://anar.fund/,RayanHamafza
اهرم,سهامی اهرمی کاریزما,Stock,17914401175772326,11912,https://ahrom.charismafunds.ir/,LeveragedTadbirPardaz
اوج,اوج دماوند,Stock,62575434414985179,11886,http://oujdamavandfund.ir/,RayanHamafza
اوصتا,اندیشه ورزان صبا تامین,Fixed,57761388729898548,11588,https://sast.sabaamc.ir/,RayanHamafza
اونیکس,در اوراق بهادار با درآمد ثابت کیمیا,Fixed,23498719713662118,12159,https://kimiafund.ir/,TadbirPardaz
اکسیژن,سهامی اکسیژن,Stock,50094941173290382,12035,https://oxygen.o2am.ir/,RayanHamafza
بازبیمه,بخشی بازده صنعت بیمه,Stock,61483657213051835,12223,http://baazdehbakhshifund.ir/,RayanHamafza
بازده,بازده پایا,Fixed,34856765062083074,12042,http://baazdehpayafund.com/,RayanHamafza
بذر,بذر امید آفرین,Stock,37222720235819361,11197,http://bazreomidfund.ir/,RayanHamafza
برلیان,در سهام برلیان,Stock,4216536645718658,11985,http://berelianfund.ir/,RayanHamafza
بمان,بازده مانا,Fixed,52551569846042389,12209,http://baazdehmanafund.ir/,RayanHamafza
بهین رو,بخشی بهین خودرو,Stock,42799209630949274,12168,http://vistakhodro.ir/,RayanHamafza
بیدار,سهامی اهرمی بیدار,Stock,44604318643489231,12290,https://ahrom.ebidar.ir/,LeveragedTadbirPardaz
تابش,طلای تابان تمدن,Commodity,9089296888187061,10864,http://tabantamadon.ir/,RayanHamafza
تاراز,آوای تاراز زاگرس,Stock,24651394045981418,11922,http://tarazfund.ir/,RayanHamafza
تخت گاز,بخشی صنایع معیار,Stock,30507739597192201,12232,https://meyarsectorfund.ir/#2,TadbirPardazMultiNAV
تداوم,تداوم اطمینان تمدن,Fixed,39453972158399542,11367,https://tadavomtamadon.ir/,TadbirPardaz
ترمه,ترمه ایساتیس پویا,Stock,42705920381780437,12018,https://termeh.isatispm.com/,RayanHamafza
تصمیم,در اوراق بهادار با درآمد ثابت تصمیم,Fixed,53419976284977130,11569,https://tasmim-sabet.ir/,RayanHamafza
تمشک,تمشک نماد رشد,FOF,53145304508578701,12057,https://tameshk.fund/,RayanHamafza
توان,سهامی اهرمی توان مفید,Stock,41927452991671109,12033,https://tavanfund.com/,LeveragedTadbirPardaz
توسکا,در اوراق بهادار با درآمد ثابت توسعه فولاد,Fixed,56871139881800017,12155,https://tooskafund.ir/,RayanHamafza
تکپاد,مشترک ارزش پرداز آریان,Stock,1825060609227181,12227,http://aaiccofund.ir/,RayanHamafza
تیام,سهامی تیام,Stock,16578517055478811,12170,http://tiamfund.ir/,RayanHamafza
ثابت اکسیژن,در اوراق بهادار با درآمد ثابت اکسیژن,Fixed,44558786393585356,12171,http://nitrogen.o2am.ir/,RayanHamafza
ثبات,ثبات ویستا,Fixed,26780282166315918,11874,http://sobatvista.ir/,RayanHamafza
ثروت ساز,سهامی ثروت ساز دیبا,Stock,23609214278467198,12237,https://servatsazdiba.ir/,MabnaDP
ثروتم,ثروت آفرین پارسیان,Stock,71672399601682259,11327,http://sap-fund.com/,RayanHamafza
ثمین,ثروت افزون ثمین,Stock,66721204145017523,11889,http://saminfund.ir/,RayanHamafza
ثنا,زرین نهال ثنا,Stock,32112121249636248,12023,https://zarinnahal.sanaamc.com/,MabnaDP
ثهام,ثروت هامرز,Stock,38713440086361985,11823,https://servat.hummers.ir/,TadbirPardaz
جاودان,جاویدان سهام مانی,Stock,49531112577387255,12191,https://javidanfund.ir/,TadbirPardaz
جهش,سهامی اهرمی جهش فارابی,Stock,7681671915916933,12138,https://jahesh.irfarabi.ir/,LeveragedTadbirPardaz
جواهر,طلای دنای زاگرس,Commodity,38544104313215500,12043,http://javaherfund.ir/,RayanHamafza
خاتم,خاتم ایساتیس پویا,Fixed,18865325633315847,11753,https://etf.isatispm.com/,RayanHamafza
خبرگان,اندیشه خبرگان سهام,Stock,27639047710974505,11334,http://khobreganfund.com/,RayanHamafza
خلیج,گنجینه مینو خلیج فارس,Stock,26458514535443899,12210,https://khalij.pgibc.ir/,TadbirPardaz
خودران,بخشی صنایع مفید2,Stock,67261627618765635,,https://mofidsectorfund.com/#3,TadbirPardazMultiNAV
خورشید,طلوع تدبیر پایا,Fixed,4523009251964699,12154,http://paya.tadbirfunds.ir/,RayanHamafza
دارا,دارا الگوریتم,Fixed,62012736978844991,11660,http://darafund.ir/,RayanHamafza
دارا یکم,واسطه گری مالی یکم,Stock,62235397452612911,11709,http://fi1fund.com/,RayanHamafza
داریوش,ثروت داریوش,Stock,58789178087946067,11878,http://servat.dariush.fund/,RayanHamafza
داریک,اعتماد داریک,Fixed,71076372178147339,11725,http://etemaddarik.ir/,RayanHamafza
دامون,آسمان دامون,Fixed,43009306066217458,12160,https://admfund.ir/,TadbirPardaz
دانیک,املاک و مستغلات نیک رای,REIT,67717913151786055,12111,https://nikrayreits.ir/,TadbirPardaz
درسا,قابل معامله سهامی درسا,Stock,34581754264880199,11962,http://dorsaetf.ir/,RayanHamafza
دریا,دریای آبی فیروزه,Stock,11285885633824855,12039,https://daryaetf.ir/,TadbirPardaz
درین,درین بها بازار,Fixed,21077182490095731,12086,http://dorinfund.com/,RayanHamafza
دیبا,مختص اوراق دولتی بازده پایه بازار صبا,Fixed,70698996132397388,12045,http://payeh.sabaamc.ir/,RayanHamafza
رابین,توسعه افق رابین,Fixed,33527290777160784,12052,http://rabinetf.ir/,RayanHamafza
رایکا,نوع دوم رایکا,Fixed,66105959479616770,12024,http://raykaetf.com/,RayanHamafza
رخش,ثروت البرز,Stock,63886404454477678,12250,https://servatalborz.ir/,MabnaDP
رشد,رشد پایدار آبان,Fixed,48287767791629523,11667,https://rpfund.ir/,TadbirPardaz
رماس,راهبرد ممتاز ابن سینا,Stock,22002589755112021,11803,http://emacofund.ir/,RayanHamafza
رویین,بخشی فلزات رویین,Stock,53059909885484371,12179,https://rouinfund.ir/#2,TadbirPardazMultiNAV
زر,پشتوانه سکه طلای زرافشان امید ایرانیان,Commodity,33254899395816171,11530,http://omidgoldfund.ir/,RayanHamafza
زرفام,زرفام آشنا,Commodity,33144542989832366,11967,https://goldfund.ir/,RayanHamafza
زرین,زرین کوروش,Stock,50139638026536387,11774,http://zarinfunds.com/,RayanHamafza
زیتون,زیتون نماد پایا,Mixed,28551661889797217,11888,https://zeytoon.fund/,RayanHamafza
ساحل,مختص اوراق دولتی خلیج فارس,Fixed,62708526880913292,11990,https://sahel.pgibc.ir/,RayanHamafza
سام,در اوراق بهادار با درآمد ثابت سام,Fixed,55308018877404137,12055,https://samfund.ir/,TadbirPardaz
سحرخیز,گروه زعفران سحرخیز,Commodity,51200575796028449,11780,http://saharkhizfund.com/,RayanHamafza
سخند,سپهر خبرگان نفت,Fixed,59598536122397373,11340,http://khobregan-etf.com/,RayanHamafza
سرو,سرو سودمند مدبران,Stock,64942549055019553,11649,https://sarv.fund/,RayanHamafza
سلام,سلام فارابی,Stock,70541934393301867,11951,https://salam.irfarabi.ir/,TadbirPardaz
سمان,بخشی ثروت پویا,Stock,40473515538481093,12169,https://pssfund.ir/,TadbirPardaz
سپر,سپر سرمایه بیدار,Fixed,17226661368470120,11722,http://separ.ebb.ir/,RayanHamafza
سپیدما,سپید دماوند,Fixed,2161110547458064,11820,http://sepiddamavandfund.ir/,RayanHamafza
سپینود,سهامی به آفرید سپینود,Stock,3927545069816217,12248,https://behafarid.sepinudcapital.ir/,TadbirPardaz
سیمانا,صندوق س صنايع دايا2,Stock,46918165794045813,,https://daya.charismafunds.ir/#3,TadbirPardazMultiNAV
سیمانو,بخشی صنایع مفید3,Stock,62069100905581368,,https://mofidsectorfund.com/#4,TadbirPardazMultiNAV
سیناد,سپهر سودمند سینا,Fixed,31913287805282551,11841,https://sinaetf.ir/,TadbirPardaz
شتاب,سهامی اهرمی شتاب آگاه,Stock,64216772923447100,12127,https://shetabfund.ir/,LeveragedTadbirPardaz
صایند,گنجینه آینده روشن,Fixed,45205530868811305,11323,https://ayandehfund.com/,RayanHamafza
صدف,صدف سهام,Stock,51285326016186930,12152,https://sadaffund.ir/,RayanHamafza
صنم,صندوق در صندوق صنم,FOF,47125023640770480,11927,http://sanam.charismafunds.ir/,RayanHamafza
صنهال,نهال سرمایه ایرانیان,Fixed,52846735736632974,10923,http://sarmayefund.ir/,RayanHamafza
صنوین,سپهر اندیشه نوین,Mixed,68203878405672734,11196,http://sepehrnovin.ir/,RayanHamafza
ضمان,تضمین اصل سرمایه کاریزما,Mixed,38356837895042988,12009,https://tazmin.charismafunds.ir/,RayanHamafza
طلا,پشتوانه طلای لوتوس,Commodity,46700660505281786,11509,http://lotusgoldfund.capital/,RayanHamafza
طلوع,طلوع نوین ثابت,Fixed,19060410060488876,11391,http://toloufund.ir/,RayanHamafza
عقیق,مشترک عقیق,Stock,45452221088910484,10830,http://aghighfund.com/,RayanHamafza
عیار,طلای عیار مفید,Commodity,34144395039913458,11586,https://ayaretf.com/,TadbirPardaz
فاخر,ثروت افزون فاخر,Fixed,56344907495802692,12146,https://fakherfund.ir/,RayanHamafza
فارما کیان,قابل معامله بخشی کیان,Stock,40422084765096890,12234,https://kianfunds9.ir/,MabnaDP
فراز,فراز داریک,Stock,13666407494621646,11773,http://farazdarik.ir/,RayanHamafza
فردا,آوای فردای زاگرس,Fixed,65249046611427924,11776,https://afzfund.ir/,TadbirPardaz
فلزفارابی,بخشی فلز فارابی,Stock,43664630566988630,12183,https://felez.irfarabi.ir/,TadbirPardaz
فیروزا,ارمغان فیروزه آسیا,Fixed,10795723506538053,11518,https://firouzehfixetf.ir/,TadbirPardaz
فیروزه,شاخص سی شرکت بزرگ فیروزه,Stock,66036975502302203,11308,https://iranetf.ir/,TadbirPardaz
لبخند,لبخند فارابی,Fixed,31569200988534548,12002,https://labkhand.irfarabi.ir/,TadbirPardaz
مالک آتیه,املاک و مستغلات مالک آتیه مسکن,REIT,37118058361762279,12251,https://maskanamfund.ir/,TadbirPardaz
مانی,ثابت مانی,Fixed,61265100181977543,11859,https://manifunds.ir/,TadbirPardaz
ماهور,در اوراق بهادار با درآمد ثابت ماهور,Fixed,10458396610199724,12208,https://mahoormeyar.ir/,TadbirPardaz
متال,بخشی صنایع دایا,Stock,70515583859928047,12181,https://daya.charismafunds.ir/#2,TadbirPardazMultiNAV
مثقال,در اوراق بهادار مبتنی بر طلای زرین آگاه,Commodity,32469128621155736,11899,http://zarinagahfund.com/,RayanHamafza
مدیر,مدیریت ثروت صندوق بازنشستگی کشوری,Stock,65576885779918210,11736,https://modirfund.ir/,TadbirPardaz
مروارید,مروارید بها بازار,Stock,31248540252187559,11929,http://morvaridfund.ir/,RayanHamafza
موج,سهامی اهرمی موج فیروزه,Stock,67141987086032267,12196,https://mojfund.ir/,LeveragedTadbirPardaz
ناب,در اوراق بهادار مبتنی بر سکه طلا نهایت نگر,Commodity,30582275818828857,12008,http://nahayatgold.com/,RayanHamafza
نارنج اهرم,سهامی اهرمی نارنج,Stock,35831329532779850,12288,https://narenj.fund/,LeveragedTadbirPardaz
نارین,ارزش آفرین فولاد,Stock,30430907997908005,12225,http://narinfund.ir/,RayanHamafza
نخل,در اوراق بهادار با درآمد ثابت خلیج فارس,Fixed,27797446447955609,11989,https://nakhl.pgibc.ir/,RayanHamafza
نشان,در اوراق بهادار با درآمد ثابت نشان هامرز,Fixed,1241998328504490,11959,https://neshan.hummers.ir/,TadbirPardaz
نفیس,در اوراق بهادار مبتنی بر طلای صبا,Commodity,4626686276232042,12012,http://nafis.sabaamc.ir/,RayanHamafza
نهال,طلای سرخ نو ویرا,Commodity,12913156843322499,11772,https://nahal.fund/,RayanHamafza
نیلی,نیلی دماوند,Fixed,31188566503248753,12070,http://nilidamavandfund.ir/,RayanHamafza
نیک گستر,توسعه سرمایه نیکی,Fixed,30977409629493496,11420,http://nikigroupfund.ir/,RayanHamafza
هامرز,اعتماد هامرز,Fixed,50503654866742146,11920,https://hummersfund.ir/,TadbirPardaz
هامون,ثروت هامون,Stock,63514093298304639,12205,https://hamounetf.ir/,TadbirPardaz
هم وزن,قابل معامله شاخصی کیان,Stock,47041908051542008,11924,https://kianfunds6.ir/,MabnaDP
همای,همای آگاه,Fixed,15494954332657697,11767,http://homayeagah.ir/,RayanHamafza
همگام,همگام آشنا ایرانیان,Fixed,49681831162536304,12216,http://hamgamfund.ir/,RayanHamafza
هوشیار,سهامی هوش تصمیم,Stock,9375107506435996,12166,http://tasmim-houshfund.ir/,RayanHamafza
